market_id,created_at,actual_delivery_time,store_id,store_primary_category,order_protocol,total_items,subtotal,num_distinct_items,min_item_price,max_item_price,total_onshift_dashers,total_busy_dashers,total_outstanding_orders,estimated_order_place_duration,estimated_store_to_consumer_driving_duration
2.0,2015-01-24 18:23:56,2015-01-24 19:24:39,3955,smoothie,2.0,2,1944,2,595,1199,12.0,36.0,14.0,251,495.0
2.0,2015-01-22 19:02:58,2015-01-22 19:25:44,5704,vietnamese,5.0,2,2098,2,836,1138,31.0,36.0,28.0,251,196.0
4.0,2015-02-01 20:39:21,2015-02-01 21:19:24,6323,vietnamese,2.0,3,3135,3,695,1395,35.0,35.0,48.0,251,501.0
2.0,2015-02-16 18:08:25,2015-02-16 18:42:06,892,french,5.0,1,895,1,895,895,10.0,6.0,3.0,251,816.0
2.0,2015-02-15 18:55:33,2015-02-15 19:28:10,6884,burger,5.0,1,0,1,950,950,23.0,20.0,23.0,251,573.0
1.0,2015-02-02 01:58:30,2015-02-02 03:09:23,3493,indian,3.0,4,2100,4,300,1200,10.0,10.0,17.0,251,425.0
4.0,2015-02-12 02:30:44,2015-02-12 03:06:06,5987,pizza,1.0,2,2558,2,1079,1479,65.0,49.0,83.0,446,552.0
1.0,2015-01-27 03:25:33,2015-01-27 05:13:19,6754,japanese,4.0,10,7570,7,500,1150,24.0,24.0,35.0,446,501.0
4.0,2015-02-06 01:57:48,2015-02-06 02:28:31,1880,sandwich,3.0,1,799,1,799,799,116.0,95.0,116.0,251,653.0
3.0,2015-01-29 20:27:45,2015-01-29 21:04:10,1939,mexican,5.0,2,2700,2,1000,1700,23.0,19.0,20.0,251,
2.0,2015-01-28 17:50:05,2015-01-28 18:32:46,6884,burger,5.0,1,1445,1,1402,1446,8.0,8.0,17.0,251,435.0
4.0,2015-02-09 00:42:46,2015-02-09 01:13:06,5583,sandwich,2.0,3,1826,3,420,703,31.0,31.0,29.0,251,339.0
4.0,2015-02-05 22:08:45,2015-02-05 22:52:31,5341,vietnamese,5.0,1,875,1,875,875,20.0,24.0,24.0,251,1145.0
4.0,2015-02-08 18:25:12,2015-02-08 19:08:15,2486,salad,3.0,1,1099,1,795,795,13.0,8.0,12.0,251,573.0
